Epoch 1/2
	 * Train loss: 2.846158209108699
	 * Validation loss: 2.850098661075896
Epoch 2/2
	 * Train loss: 2.777072689969376
	 * Validation loss: 2.8156563796617338
Accuracy on test data: 0.1527777777777778
         82445611 function calls (82409333 primitive calls) in 200.966 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1110704   73.734    0.000   96.561    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/lib/shape_base.py:1067(kron)
      398   60.148    0.151  197.035    0.495 /Users/eloidieme/dev/python-projects/convnet/src/cnnClassifier/models/train.py:130(compute_gradients)
    79336   36.587    0.000  134.492    0.002 /Users/eloidieme/dev/python-projects/convnet/src/cnnClassifier/models/train.py:102(make_mx_matrix)
  4442816    7.571    0.000   20.167    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/lib/shape_base.py:512(expand_dims)
  4442816    4.525    0.000    7.090    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/numeric.py:1330(normalize_axis_tuple)
      409    3.023    0.007    3.050    0.007 /Users/eloidieme/dev/python-projects/convnet/src/cnnClassifier/models/train.py:121(evaluate_classifier)
  5637884    2.491    0.000    2.491    0.000 {method 'reshape' of 'numpy.ndarray' objects}
  4442816    2.391    0.000    2.903    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/lib/shape_base.py:600(<listcomp>)
  4442816    1.360    0.000    1.932    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/core/numeric.py:1380(<listcomp>)
13378420/13378353    0.937    0.000    0.937    0.000 {built-in method builtins.len}
        5    0.719    0.144    0.719    0.144 {built-in method _imp.create_dynamic}
6730612/6730609    0.604    0.000    0.619    0.000 {built-in method builtins.isinstance}
  1111245    0.584    0.000    0.584    0.000 {method 'ravel' of 'numpy.ndarray' objects}
  5553541    0.571    0.000    0.571    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
  3337191    0.528    0.000    0.528    0.000 {built-in method builtins.max}
7785234/7783290    0.515    0.000    0.566    0.000 {built-in method builtins.next}
  5557631    0.497    0.000    0.497    0.000 {built-in method numpy.asanyarray}
  4442816    0.431    0.000    0.431    0.000 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/numpy/lib/shape_base.py:508(_expand_dims_dispatcher)
  4451222    0.364    0.000    0.364    0.000 {built-in method builtins.iter}
        5    0.326    0.065    0.326    0.065 {method 'encode' of 'ImagingEncoder' objects}
        1    0.276    0.276  200.531  200.531 /Users/eloidieme/dev/python-projects/convnet/src/cnnClassifier/models/train.py:187(mini_batch_gd)
        2    0.270    0.135    0.380    0.190 /Users/eloidieme/dev/python-projects/convnet/env/lib/python3.11/site-packages/matplotlib/backend_bases.py:2682(create_with_canvas)
      818    0.261    0.000    0.303    0.000 /Users/eloidieme/dev/python-projects/convnet/src/cnnClassifier/models/train.py:86(make_mf_matrix)
